timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648156196246,1052,Create ,200,OK,Thread Group 1-104,text,true,,443,407,61,61,https://restful-booker.herokuapp.com/booking/,1052,0,774
1648156196966,333,Get,200,OK,Thread Group 1-98,text,true,,415,189,61,61,https://restful-booker.herokuapp.com/booking/616,333,0,0
1648156196975,325,Get,200,OK,Thread Group 1-99,text,true,,415,189,61,61,https://restful-booker.herokuapp.com/booking/617,325,0,0
1648156196956,349,Delete,201,Created,Thread Group 1-65,text,true,,248,242,61,61,https://restful-booker.herokuapp.com/booking/583,349,0,0
1648156197029,282,Get,200,OK,Thread Group 1-100,text,true,,415,189,60,60,https://restful-booker.herokuapp.com/booking/618,282,0,0
1648156196957,357,Patch,200,OK,Thread Group 1-71,text,true,,424,268,60,60,https://restful-booker.herokuapp.com/booking/589,357,0,0
1648156196958,361,Delete,201,Created,Thread Group 1-63,text,true,,248,242,60,60,https://restful-booker.herokuapp.com/booking/581,361,0,0
1648156196961,369,Patch,200,OK,Thread Group 1-74,text,true,,424,268,60,60,https://restful-booker.herokuapp.com/booking/592,369,0,0
1648156196957,373,Delete,201,Created,Thread Group 1-61,text,true,,248,242,60,60,https://restful-booker.herokuapp.com/booking/579,373,0,0
1648156196957,375,Patch,200,OK,Thread Group 1-66,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/584,375,0,0
1648156196973,360,Patch,200,OK,Thread Group 1-73,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/591,359,0,0
1648156197020,313,Patch,200,OK,Thread Group 1-79,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/597,313,0,0
1648156197008,326,Patch,200,OK,Thread Group 1-76,text,true,,424,268,59,59,https://restful-booker.herokuapp.com/booking/594,326,0,0
1648156196962,372,Delete,201,Created,Thread Group 1-64,text,true,,248,242,59,59,https://restful-booker.herokuapp.com/booking/582,372,0,0
1648156196974,361,Delete,201,Created,Thread Group 1-60,text,true,,248,242,58,58,https://restful-booker.herokuapp.com/booking/578,361,0,0
1648156197047,289,Patch,200,OK,Thread Group 1-67,text,true,,424,268,58,58,https://restful-booker.herokuapp.com/booking/585,289,0,0
1648156197053,283,Patch,200,OK,Thread Group 1-82,text,true,,424,268,57,57,https://restful-booker.herokuapp.com/booking/600,283,0,0
1648156197051,285,Patch,200,OK,Thread Group 1-81,text,true,,424,268,57,57,https://restful-booker.herokuapp.com/booking/599,285,0,0
1648156197059,278,Update,200,OK,Thread Group 1-89,text,true,,424,448,57,57,https://restful-booker.herokuapp.com/booking/607,278,0,0
1648156197086,257,Patch,200,OK,Thread Group 1-84,text,true,,424,268,57,57,https://restful-booker.herokuapp.com/booking/602,257,0,0
1648156196303,1041,Create ,200,OK,Thread Group 1-105,text,true,,443,407,57,57,https://restful-booker.herokuapp.com/booking/,1041,0,784
1648156197096,258,Patch,200,OK,Thread Group 1-77,text,true,,424,268,57,57,https://restful-booker.herokuapp.com/booking/595,258,0,0
1648156197095,265,Patch,200,OK,Thread Group 1-80,text,true,,424,268,57,57,https://restful-booker.herokuapp.com/booking/598,265,0,0
1648156197105,258,Update,200,OK,Thread Group 1-90,text,true,,424,448,57,57,https://restful-booker.herokuapp.com/booking/608,258,0,0
1648156196364,1058,Create ,200,OK,Thread Group 1-106,text,true,,443,407,58,58,https://restful-booker.herokuapp.com/booking/,1058,0,767
1648156197116,309,Patch,200,OK,Thread Group 1-75,text,true,,424,268,58,58,https://restful-booker.herokuapp.com/booking/593,309,0,0
